id,pattern,value1,value2,value3,type,matchType,frequency
id_1,ndhra,ന്ധ്ര,,,2,1,0
id_1,nmra,ന്മ്ര,,,2,1,0
id_1,NDra,ണ്ഡ്ര,,,2,1,0
id_1,ndra,ണ്ഡ്ര,,,2,1,0
id_1,cra,ക്ര,,,2,1,0
id_1,ya,യ,,,2,1,0
id_1,sha,ഷ,,,2,1,0
id_1,zha,ഴ,,,2,1,0
id_1,xa,ക്സ,,,2,1,0
id_1,Xa,ക്സ,,,2,1,0
id_1,ksha,ക്ഷ,,,2,1,0
id_1,nka,ങ്ക,,,2,1,0
id_1,ncha,ഞ്ച,,,2,1,0
id_1,nja,ഞ്ച,,,2,1,0
id_1,ntha,ന്ത,,,2,1,0
id_1,nta,ന്റ,,,2,1,0
id_1,nda,ണ്ട,,,2,1,0
id_1,nDa,ണ്ട,,,2,1,0
id_1,Nta,ണ്ട,,,2,1,0
id_1,nda,ന്ദ,,,2,1,0
id_1,tta,ട്ട,,,2,1,0
id_1,tha,ത്ത,,,2,1,0
id_1,THa,ത്ത,,,2,1,0
id_1,ttha,ത്ത,,,2,1,0
id_1,lla,ല്ല,,,2,1,0
id_1,LLa,ള്ള,,,2,1,0
id_1,lla,ള്ള,,,2,1,0
id_1,nna,ന്ന,,,2,1,0
id_1,NNa,ണ്ണ,,,2,1,0
id_1,nna,ണ്ണ,,,2,1,0
id_1,bba,ബ്ബ,,,2,1,0
id_1,Ba,ബ്ബ,,,2,1,0
id_1,kka,ക്ക,,,2,1,0
id_1,Ka,ക്ക,,,2,1,0
id_1,gga,ഗ്ഗ,,,2,1,0
id_1,Ga,ഗ്ഗ,,,2,1,0
id_1,jja,ജ്ജ,,,2,1,0
id_1,Ja,ജ്ജ,,,2,1,0
id_1,mma,മ്മ,,,2,1,0
id_1,Ma,മ്മ,,,2,1,0
id_1,ppa,പ്പ,,,2,1,0
id_1,Pa,പ്പ,,,2,1,0
id_1,vva,വ്വ,,,2,1,0
id_1,Va,വ്വ,,,2,1,0
id_1,wwa,വ്വ,,,2,1,0
id_1,Wa,വ്വ,,,2,1,0
id_1,yya,യ്യ,,,2,1,0
id_1,Ya,യ്യ,,,2,1,0
id_1,mpa,മ്പ,,,2,1,0
id_1,mba,മ്പ,,,2,1,0
id_1,ska,സ്ക,,,2,1,0
id_1,scha,സ്ക,,,2,1,0
id_1,cha,ച്ച,,,2,1,0
id_1,chcha,ച്ച,,,2,1,0
id_1,ccha,ച്ച,,,2,1,0
id_1,Cha,ച്ച,,,2,1,0
id_1,ndha,ന്ധ,,,2,1,0
id_1,jnja,ജ്ഞ,,,2,1,0
